Classifier,question,Description,File Types,Languages,Contextual Summary and Keyword Highlighting Summary,Notes
Employee Stocks and Financial Bonds,How {} documents can be identified?,"Detects documents that are related to stock and financial bonds award by organization to employees. This classifier identifies employee stocks and financial bonds details that fall under employees payroll. Contains details like bond clause, allocations, equity.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .txt, .one, .msg, .eml",English,Yes,-
Enterprise Risk Management,How {} documents can be identified?,"Enterprise risk management includes financial risks, strategic risks, operational risks, and risks associated with accidental losses. This category consists of methods used by organizations to manage risks and seize opportunities related to the achievement of their objectives.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt",English,Yes,-
Finance,How {} documents can be identified?,"Detects content in corporate finance, accounting, economy, banking, and investment categories.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla",English,Yes,-
Financial Audit,How {} documents can be identified?,"Detects files, documents, and reports pertaining to financial audit, both external or internal audit undertaken in an organization.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml",English,Yes,-
Financial Statement,How {} documents can be identified?,"Detects financial statements like income statement, balance sheet, cash flow statement, statement of changes in equity.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla",English,Yes,-
Freight Documents,How {} documents can be identified?,"Detects documents that authorize the export or import of goods in a specific quantity from source to destination. This model categorizes different documents including Bill of Ladings, Certificate of Origin, Commercial Invoice, Export-import customs declaration, Importer Security Filing (ISF).",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .txt, .one files.",English,Yes,-
Gifts and Entertainment,How {} documents or messages can be identified?,"Detects messages that may suggest exchanging gifts or entertainment in return for service, which violates regulations related to bribery. This classifier can help customers manage regulatory compliance obligations such as Foreign Corrupt Practices Act (FCPA), UK Bribery Act, and FINRA Rule 2320.",".msg, .docx, .pdf, .txt, .rtf, .jpeg, .jpg, .png, .gif, .bmp, .svg files.",English,Yes,"This classifier may capture a large volume of bulk sender/newsletter content. In Communication Compliance, you can mitigate the detection of large volumes of bulk sender/newsletter content by selecting the Filter email blasts checkbox when you create the policy. You can also edit an existing Communication Compliance policy to turn on this feature."
Harassment,How can {} be identified in documents?,"Detects a specific category of offensive language text items related to offensive conduct targeting one or multiple individuals based on the following traits: race, ethnicity, religion, national origin, gender, sexual orientation, age, disability.",".msg, .docx, .pdf, .txt, .rtf, .jpeg, .jpg, .png, .gif, .bmp, .svg files.","Arabic, Chinese (Simplified), Chinese (Traditional), Dutch, English, French, German, Italian, Korean, Japanese, Portuguese, Spanish",Yes,-
HealthMedical Forms,How {} documents can be identified?,"Detects various forms and files used for systematic documentation of a patients admission details, medical history, patient information, and prior authorization request, typically used in medical/health services.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa files.",English,Yes,-
Healthcare,How {} documents can be identified?,"Detects content in medical and healthcare administration aspects such as medical services, diagnoses, treatment, claims, etc.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla files.",English,Yes,-
Human Resources,How {} documents can be identified?,"Detects content in human resources-related categories of recruitment, interviewing, hiring, training, evaluating, warning, and termination.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla files.",English,Yes,-
Invoice,How {} documents can be identified?,"Detects invoices containing an itemized summary of the purchase, the total balance owed, current payment due, and various payment methods.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .eml, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla files.",English,Yes,-
Intellectual Property,How {} documents can be identified?,Detects content in intellectual property-related categories such as trade secrets and similar confidential information.,".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla files.",English,Yes,-
Information Technology,How {} documents can be identified?,"Detects content in information technology and cybersecurity categories such as network settings, information security, hardware, and software.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla files.",English,Yes,-
Legal Affairs,How {} documents or messages can be identified?,"Detects content in legal affairs-related categories such as litigation, legal process, legal obligation, legal terminology, law, and legislation.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml files.",English,Yes,-
Legal Agreements,How {} documents or messages can be identified?,"Detects various legally binding documents/contracts/agreements like Arbitration agreements, Power of Attorney, Purchase Agreements between two parties.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .txt files.",English,Yes,-
License Agreement,How {} documents or messages can be identified?,Detects license agreements containing terms and conditions for use and compensation for the licensor.,".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt files.",English,Yes,-
Loan Agreements and Offer Letters,How {} documents or messages can be identified?,"Detects loan agreements, offer letters, and terms and conditions contained within the document.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml files.",English,Yes,-
Manufacturing Batch Records,How {} documents or messages can be identified?,Detects manufacturing batch documents that include details around the entire manufacturing process and the history of a product batch.,".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml files.",English,Yes,-
Merger and Acquisition Files,How {} documents or messages can be identified?,"Detects documents including the letter of intent, term sheets, and related files.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml files.",English,Yes,-
Meeting Notes,How {} documents or messages can be identified?,Detects documents and notes containing information specific to meetings.,".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa files.",English,Yes,-
Money Laundering,How {} documents or messages can be identified?,Detects signs that may suggest money laundering or engagement in acts to conceal or disguise the origin or destination of proceeds.,".msg, .docx, .pdf, .txt, .rtf, .jpeg, .jpg, .png, .gif, .bmp, .svg files.",English,Yes,"This classifier may capture a large volume of bulk sender/newsletter content. In Communication Compliance, you can mitigate the detection of large volumes of bulk sender/newsletter content by selecting the Filter email blasts checkbox when you create the policy. You can also edit an existing Communication Compliance policy to turn on this feature."
Network Design Files,How {} documents can be identified?,"Detects technical documentation about networks of computers including various components of the network, how theyre connected, their architecture, how they perform, and where they troubleshoot.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa files.",English,Yes,-
Non-Disclosure Agreement,How {} documents can be identified?,Detects nondisclosure agreements (NDAs).,".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt files.",English,Yes,-
Paystub,How {} documents can be identified?,Detects paystub/salary statement files.,".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla files.",English,Yes,-
Personal Financial Information,How {} documents can be identified?,"Detects documents related to different personal financial records consisting of financial statements, real estate planning, and retirement plans.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .txt, .one files.",English,Yes,-
Procurement,How {} documents can be identified?,"Detects content in categories of bidding, quoting, purchasing, and paying for the supply of goods and services.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla files.",English,No,-
Project Documents,How {} documents can be identified?,"Detects project reports and documents, including project planning documents, project charter documents, and schedules.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa files.",English,Yes,
Profanity,How can {} be identified in documents?,Detects a specific category of offensive language text items that contain expressions that embarrass most people.,".msg, .docx, .pdf, .txt, .rtf, .jpeg, .jpg, .png, .gif, .bmp, .svg files.","Arabic, Chinese (Simplified), Chinese (Traditional), Dutch, English, French, German, Italian, Korean, Japanese, Portuguese, Spanish",Yes (English),-
Quotation,How {} documents can be identified?,"Detects documents that offer to sell goods or services for a set price, based on certain conditions. It contains a description of the goods or services, the price of the goods or rate of the service, the quantity, and a total cost.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .eml, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla files.",English,Yes,-
Regulatory Collusion,How can {} be identified in documents?,Detects messages that may violate regulatory anti-collusion requirements such as an attempted concealment of sensitive information. This classifier can help customers manage regulatory compliance obligations.,".msg, .docx, .pdf, .txt, .rtf, .jpeg, .jpg, .png, .gif, .bmp, .svg files.",English,No,"This classifier may capture a large volume of bulk sender/newsletter content. In Communication Compliance, you can mitigate the detection of large volumes of bulk sender/newsletter content by selecting the Filter email blasts check box when you create the policy. You can also edit an existing Communication Compliance policy to turn on this feature."
Resume,How {} or CVs  can be identified?,"Detects a resume document that a job applicant provides an employer, which has a detailed statement of the candidates prior work experience, education, and accomplishments.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .txt files.",English,Yes,-
Safety Records,How {} documents can be identified?,"Detects documents that are related to facility/factory safety. These documents can be facility safety plan, safety assessments and audit reports, emergency response and evacuation plan, and equipment’s inspection reports concerning safety measurements.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .txt, .one, .eml files.",English,Yes,-
Sales and Revenue,How {} documents can be identified?,"Detects sales reports, revenue/income statement, and sales/demand forecasting reports for organizations.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa files.",English,Yes,-
Software Product Development Files,How {} documents can be identified?,"Detects files used in software development including product requirements document, product testing and planning, files including test cases, and test reports.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml files.",English,Yes,-
Source Code,How {} files can be identified?,Detects items that contain a set of instructions and statements written in computer programming languages on GitHub.,".c, .h, .w, .cs, .cake, .csx, .cpp, .c++, .cc, .cp, .cxx, .hh, .hpp, .hxx, .java, .js, .m, .matlab, .pl, .perl, .pm, .prl, .ipb, .php, .php3, .php4, .php5, .py, .pyc, .pyo, .r, .rl, .rb, .irb, .swift, .as, .clj, .cljs, .cljc, .coffee, .Go, .hs, .hsc, .lua, .lub, .m, .mm, .scala, .sca, .Tex, .T, .xs, . sh, .vim, .edn, .javac, .lhs, .mjs, .pod, .r, .rda, .RData, .rds, .rb, .bash, .docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .eml, .msg, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla, .sc, .litcoffee files.",N/A,No,Note: Source code is trained to detect when the bulk of the text is source code. It does not detect source code text that is interspersed with plain text.
Standard Operating Procedures and Manuals,How {} documents can be identified?,Detects sets of documented instructions created to help workers perform routine operations or manufacturing tasks.,".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt files.",English,Yes,-
Statement of Accounts,How {} documents can be identified?,"A statement of account is a detailed report of the contents of an account. This classifier identifies documents related to Statement of accounts, Accounts Payable, and Accounts Receivable.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla files.",English,Yes,-
Statement of Work,How {} documents can be identified?,"Detects statement of work (SOW) containing details like requirements, responsibilities, terms and conditions for both parties.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt files.",English,Yes,-
Stock Manipulation,How {} documents can be identified?,"Detects signs of possible stock manipulation, such as recommendations to buy, sell or hold stocks that may suggest an attempt to manipulate the stock price.",".msg, .docx, .pdf, .txt, .rtf, .jpeg, .jpg, .png, .gif, .bmp, .svg files.",English,Yes,"This classifier may capture a large volume of bulk sender/newsletter content. In Communication Compliance, you can mitigate the detection of large volumes of bulk sender/newsletter content by selecting the Filter email blasts check box when you create the policy. You can also edit an existing Communication Compliance policy to turn on this feature."
Tax Documents,How {} documents can be identified?,"Detects tax-related content such as tax planning, tax forms, tax filing, tax regulations.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla files.",English,Yes,-
Threat,How can {} be identified in documents?,Detects a specific category of offensive language text items related to threats to commit violence or do physical harm or damage to a person or property.,".msg, .docx, .pdf, .txt, .rtf, .jpeg, .jpg, .png, .gif, .bmp, .svg files.","Arabic, Chinese (Simplified), Chinese (Traditional), Dutch, English, French, German, Italian, Korean, Japanese, Portuguese, Spanish",Yes (English),-
Unauthorized Disclosure,How can {} be identified in documents?,Detects sharing of information containing content that is explicitly designated as confidential or internal to unauthorized individuals. This classifier can help customers manage regulatory compliance obligations.,".msg, .docx, .pdf, .txt, .rtf, .jpeg, .jpg, .png, .gif, .bmp, .svg files.",English,Yes,"This classifier may capture a large volume of bulk sender/newsletter content. In Communication Compliance, you can mitigate the detection of large volumes of bulk sender/newsletter content by selecting the Filter email blasts check box when you create the policy. You can also edit an existing Communication Compliance policy to turn on this feature."
Wire Transfer,How {} documents can be identified?,Wire transfer is a method of electronic funds transfer from one person or entity to another. The model captures all the wire transfer receipts and acknowledgments.,".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt files.",English,Yes,-
